employee_id,gender,age,years_experience,education_level,department,job_title,job_level,city,performance_rating,manager_rating,months_since_promotion,variable_pay_pct,ctc
EMP00025,Female,28,1,BITS,Sales,Senior Account Manager,2,Coimbatore,3.3,4.5,50,15.9,5.67
EMP00026,Male,31,5,Other,Finance,Senior Financial Analyst,2,Mysore,2.0,3.7,6,11.8,6.79
EMP00027,Male,27,5,Distance Learning,Operations,Supply Chain Analyst,2,Bangalore,3.6,3.9,32,6.9,9.45
EMP00028,Male,36,9,Tier-2 Private,Customer Support,Support Team Lead,3,Bangalore,4.8,4.1,19,8.6,15.11
EMP00029,Male,33,6,State University,Engineering,Senior Software Engineer,3,Nagpur,1.5,3.8,23,13.9,12.24
EMP00030,Female,31,9,IIIT,Legal,Legal Manager,3,Ahmedabad,2.9,4.0,5,9.0,15.49
EMP00031,Female,26,2,Tier-2 Private,Operations,Operations Executive,1,Nagpur,3.4,3.6,2,8.2,4.48
EMP00032,Female,32,6,State University,Legal,Legal Manager,2,Bhopal,3.3,3.2,71,10.1,4.82
EMP00033,Male,24,2,State University,Engineering,Software Engineer,1,Vadodara,4.5,5.0,5,14.4,8.56
EMP00034,Male,29,7,Central University,Product,Senior Product Manager,2,Hyderabad,3.2,3.1,40,15.9,9.74
EMP00035,Male,26,1,Central University,Finance,Financial Analyst,1,Coimbatore,3.3,,15,11.9,6.96
EMP00036,Male,31,7,Other,Sales,Account Manager,2,Nagpur,3.2,4.5,69,18.3,9.03
EMP00037,Male,26,2,IIM,Operations,Operations Executive,1,Nagpur,3.9,4.1,12,9.8,7.7
EMP00038,Male,30,4,Diploma,Finance,Financial Analyst,1,Surat,4.8,3.3,5,17.0,6.82
EMP00039,Male,36,11,Central University,Product,Associate Product Manager,2,Chennai,3.5,3.2,36,14.0,13.29
EMP00040,Female,33,7,Other,Marketing,Marketing Executive,2,Hyderabad,4.7,3.3,15,14.3,7.0
EMP00041,Male,23,1,State University,Data Science,Data Analyst,1,Coimbatore,3.6,3.8,27,13.4,6.65
EMP00042,Female,25,3,Tier-2 Private,Customer Support,Customer Support Executive,1,Chennai,2.5,3.3,12,6.2,4.3
EMP00043,Female,25,2,Other,Legal,Legal Associate,1,Hyderabad,4.4,2.9,13,14.0,6.01
EMP00044,Male,24,1,State University,Sales,Account Manager,1,Kolkata,3.5,4.0,96,34.2,9.2
EMP00045,Female,29,6,Diploma,Marketing,Brand Manager,2,Dehradun,4.6,3.3,19,19.0,7.21
EMP00046,Female,34,8,State University,Operations,Logistics Manager,4,Raipur,4.2,3.9,3,8.0,15.42
EMP00047,Male,30,8,NIT,Product,Group Product Manager,3,Coimbatore,4.2,3.7,31,10.9,12.75
EMP00048,Male,31,9,Central University,Data Science,Senior Data Scientist,3,Visakhapatnam,2.9,2.5,4,12.0,14.92
EMP00049,Female,28,5,Distance Learning,Product,Senior Product Manager,2,Delhi,2.7,3.6,34,15.1,7.5
EMP00050,Male,27,4,Central University,HR,HR Executive,2,Bhopal,3.5,4.3,6,9.2,7.62
EMP00051,Male,25,2,Tier-2 Private,Customer Support,Customer Support Executive,1,Bangalore,2.4,3.9,18,8.6,4.76
EMP00052,Male,27,4,IIT,Data Science,Data Analyst,1,Indore,2.6,2.5,10,11.0,9.06
EMP00053,Female,27,2,IIT,Finance,Financial Analyst,1,Visakhapatnam,2.9,3.5,46,12.8,6.59
EMP00054,Female,25,3,Tier-2 Private,Engineering,Senior Software Engineer,1,Pune,2.5,3.0,43,9.5,5.96
EMP00055,Female,28,6,IIIT,Marketing,Marketing Manager,2,Lucknow,3.4,3.3,23,14.4,6.49
EMP00056,Female,32,5,Central University,Customer Support,Customer Success Manager,3,Ahmedabad,3.5,3.6,5,9.3,7.44
EMP00057,Male,52,30,Central University,Engineering,Principal Engineer,6,Indore,3.1,3.4,7,8.9,50.0
EMP00058,Male,24,2,Diploma,HR,HR Executive,1,Chandigarh,2.5,,14,5.7,6.97
EMP00059,Male,27,5,Other,Data Science,Data Scientist,2,Bangalore,2.8,,12,13.0,9.07
EMP00060,Male,27,2,State University,Engineering,Senior Software Engineer,1,Patna,3.7,,18,12.7,7.55
EMP00061,Female,30,4,NIT,HR,HR Manager,2,Kochi,3.3,3.0,6,10.8,8.4
EMP00062,Male,30,4,IIT,Marketing,Marketing Executive,2,Dehradun,3.6,4.3,11,12.8,9.9
EMP00063,Male,36,10,State University,Customer Support,Customer Success Manager,3,Delhi,2.8,4.6,37,6.8,15.23
EMP00064,Female,26,4,IIIT,Product,Product Manager,2,Chandigarh,3.8,3.3,11,13.1,7.92
EMP00065,Female,29,5,Central University,Operations,Operations Manager,3,Ahmedabad,4.1,3.0,73,5.9,7.38
EMP00066,Male,29,4,"Top Private (ISB, XLRI, SP Jain)",Data Science,Data Scientist,3,Delhi,2.5,3.3,5,9.1,13.69
EMP00067,Male,28,2,Distance Learning,HR,HR Executive,1,Chennai,3.1,4.1,5,11.5,5.97
EMP00068,Male,27,3,IIT,Legal,Legal Associate,1,Kochi,2.2,3.7,1,8.9,8.74
EMP00069,Male,31,4,Distance Learning,Finance,Senior Financial Analyst,2,Bhopal,4.2,3.4,15,14.4,9.76
EMP00070,Male,33,6,Other,Data Science,Data Analyst,2,Delhi,5.0,3.1,8,8.3,12.51
EMP00071,Male,34,8,State University,HR,Talent Acquisition Specialist,3,Bhopal,4.2,3.9,2,11.6,12.1
EMP00072,Male,31,5,IIT,Data Science,Data Scientist,2,Raipur,3.4,4.0,16,8.5,12.47
EMP00073,Female,32,5,NIT,Operations,Operations Manager,2,Mysore,3.6,3.2,7,5.4,6.3
EMP00074,Male,27,1,Tier-2 Private,Product,Product Manager,1,Delhi,4.0,3.8,21,10.9,5.36
EMP00075,Male,33,8,NIT,Operations,Process Improvement Specialist,4,Chandigarh,2.5,3.9,5,9.1,14.28
EMP00076,Male,27,3,State University,Sales,Sales Executive,1,Thiruvananthapuram,3.5,4.2,42,28.0,6.23
EMP00077,Male,34,10,NIT,Customer Support,Support Manager,3,Mumbai,3.5,3.0,10,9.7,13.22
EMP00078,Female,41,15,Central University,Data Science,Senior Data Scientist,3,Bangalore,3.3,2.8,10,9.1,19.79
EMP00079,Male,28,5,Other,Customer Support,Support Manager,3,Kochi,3.2,3.3,52,6.1,8.32
EMP00080,Female,27,2,Distance Learning,Finance,Senior Financial Analyst,1,Bangalore,3.6,3.3,12,13.4,5.77
EMP00081,Female,30,5,NIT,Data Science,Data Analyst,1,Visakhapatnam,2.7,3.0,17,13.3,6.6
EMP00082,Male,31,7,Tier-2 Private,Customer Support,Customer Success Manager,2,Dehradun,2.9,3.4,6,8.2,7.3
EMP00083,Female,28,4,Central University,HR,Talent Acquisition Specialist,3,Delhi,3.7,3.8,14,6.4,9.38
EMP00084,Male,26,4,State University,HR,HR Manager,2,Raipur,3.5,2.6,41,10.5,6.75
EMP00085,Male,34,8,NIT,Finance,Financial Analyst,2,Visakhapatnam,3.5,3.0,22,16.9,11.65
EMP00086,Male,30,8,Distance Learning,Data Science,Lead Data Scientist,4,Indore,4.3,3.1,9,14.9,18.78
EMP00087,Female,26,4,State University,Engineering,Staff Engineer,2,Pune,3.4,,9,9.9,6.61
EMP00088,Male,24,1,Central University,Legal,Legal Associate,1,Ahmedabad,3.3,3.6,1,11.6,4.99
EMP00089,Male,33,8,Distance Learning,Engineering,Lead Engineer,3,Thiruvananthapuram,4.0,3.8,1,9.7,16.87
EMP00090,Male,26,3,IIIT,HR,HR Manager,1,Pune,4.9,3.0,15,6.6,8.73
EMP00091,Male,34,7,IIT,Product,Associate Product Manager,2,Bhopal,3.1,,23,15.5,10.6
EMP00092,Female,33,6,Diploma,Legal,Senior Legal Counsel,1,Kochi,3.9,1.5,40,8.2,5.55
EMP00093,Male,25,1,State University,Sales,Account Manager,1,Patna,3.3,3.6,12,17.8,5.47
EMP00094,Male,33,6,IIT,Engineering,Senior Software Engineer,2,Jaipur,2.7,3.1,24,11.3,13.33
EMP00095,Male,30,8,BITS,Data Science,Senior Data Scientist,3,Vadodara,3.5,2.5,17,11.2,13.55
EMP00096,Female,31,9,Other,Data Science,Data Scientist,3,Hyderabad,4.0,3.5,7,12.7,10.84
EMP00097,Male,30,6,Central University,Sales,Account Manager,1,Chandigarh,2.8,2.9,7,18.3,6.91
EMP00098,Male,28,1,Distance Learning,Engineering,Software Engineer,1,Mumbai,4.4,3.7,3,13.8,6.9
EMP00099,Male,39,14,NIT,Product,Product Manager,3,Bangalore,3.2,3.8,38,17.2,21.16
EMP00100,Female,34,8,State University,Marketing,Brand Manager,4,Hyderabad,3.1,5.0,3,14.3,17.38
EMP00101,Female,27,2,State University,Data Science,Data Analyst,1,Chandigarh,4.1,3.0,29,10.5,4.81
EMP00102,Female,27,3,Diploma,Finance,Financial Analyst,1,Chandigarh,3.7,3.4,8,17.8,4.6
EMP00103,Male,34,7,Central University,Finance,Finance Manager,2,Kolkata,2.9,3.6,2,17.1,11.98
EMP00104,Female,36,9,Central University,Marketing,Digital Marketing Manager,3,Mumbai,2.5,,2,13.9,9.5
EMP00105,Female,28,4,"Top Private (ISB, XLRI, SP Jain)",Engineering,Software Engineer,1,Mysore,4.9,3.4,3,13.7,7.7
EMP00106,Female,36,10,Other,Finance,Financial Analyst,2,Chennai,3.6,3.8,7,11.3,11.42
EMP00107,Male,26,1,State University,HR,HR Manager,2,Chennai,5.0,4.0,28,8.5,10.11
EMP00108,Male,27,2,IIIT,Marketing,Marketing Executive,1,Ranchi,3.1,4.1,10,22.0,7.67
EMP00109,Male,23,1,State University,Customer Support,Customer Support Executive,1,Hyderabad,3.8,3.0,24,9.3,7.1
EMP00110,Female,26,3,Tier-2 Private,Finance,Senior Financial Analyst,1,Pune,2.5,3.3,12,11.5,5.09
EMP00111,Male,44,17,"Top Private (ISB, XLRI, SP Jain)",Finance,Accounts Manager,6,Hyderabad,2.7,2.5,1,11.5,50.0
EMP00112,Male,48,25,Central University,Data Science,Lead Data Scientist,6,Raipur,3.2,2.4,26,12.9,45.54
EMP00113,Male,32,7,Central University,Operations,Supply Chain Analyst,3,Coimbatore,4.8,,5,9.2,13.86
EMP00114,Male,30,3,Central University,HR,HR Executive,1,Delhi,3.7,3.7,33,10.4,7.12
EMP00115,Male,30,5,Other,Engineering,Senior Software Engineer,2,Indore,4.4,4.0,31,14.8,13.33
EMP00116,Female,31,8,Tier-2 Private,Legal,Legal Manager,4,Bangalore,5.0,3.7,9,8.2,17.47
EMP00117,Female,29,2,Tier-2 Private,Customer Support,Support Team Lead,1,Delhi,4.3,3.3,1,5.3,5.9
EMP00118,Female,26,4,Diploma,Customer Support,Support Team Lead,1,Bhopal,4.2,4.2,25,10.0,5.48
EMP00119,Male,42,16,Other,Sales,Key Account Manager,4,Surat,3.6,3.5,5,23.5,19.71
EMP00120,Female,25,2,Tier-2 Private,Data Science,Data Scientist,1,Mysore,4.7,1.8,10,13.1,4.85
EMP00121,Female,28,3,Central University,Legal,Senior Legal Counsel,1,Nagpur,3.8,3.4,54,9.0,7.28
EMP00122,Female,30,6,State University,Marketing,Brand Manager,3,Nagpur,4.4,3.9,5,16.8,12.42
EMP00123,Male,32,7,"Top Private (ISB, XLRI, SP Jain)",Legal,Senior Legal Counsel,1,Delhi,3.2,2.6,39,15.0,9.22
EMP00124,Male,27,3,Central University,Product,Associate Product Manager,1,Ahmedabad,4.1,3.4,33,17.7,6.93
EMP00125,Male,31,6,Tier-2 Private,Operations,Operations Manager,2,Coimbatore,3.8,4.4,24,9.1,10.26
EMP00126,Male,36,9,Other,HR,Compensation Analyst,4,Patna,3.2,4.2,26,8.3,18.58
EMP00127,Male,49,23,Central University,Marketing,Content Strategist,6,Coimbatore,2.4,3.5,17,14.1,50.0
EMP00128,Male,29,5,"Top Private (ISB, XLRI, SP Jain)",Finance,Finance Manager,2,Pune,3.8,3.0,23,17.6,10.45
EMP00129,Male,32,5,Distance Learning,Engineering,Software Engineer,2,Coimbatore,3.9,3.6,7,8.0,10.32
EMP00130,Female,44,17,"Top Private (ISB, XLRI, SP Jain)",Legal,Compliance Officer,5,Vadodara,2.7,3.5,11,14.3,24.25
EMP00131,Male,29,4,IIT,Sales,Senior Account Manager,2,Jaipur,3.6,4.1,46,19.3,13.44
EMP00132,Female,27,2,Other,Customer Support,Customer Support Executive,1,Delhi,3.7,,1,9.9,4.39
EMP00133,Female,29,7,Other,HR,HR Business Partner,2,Chennai,4.4,4.4,4,5.7,9.14
EMP00134,Male,37,12,Central University,Finance,Finance Manager,4,Jaipur,3.7,3.7,2,10.2,23.23
EMP00135,Female,30,7,Tier-2 Private,Operations,Operations Manager,1,Kochi,4.1,3.0,1,5.3,5.43
EMP00136,Male,27,5,Distance Learning,Finance,Financial Analyst,2,Mumbai,3.4,,16,12.5,9.26
EMP00137,Female,29,2,IIIT,Customer Support,Customer Support Executive,1,Ranchi,3.3,,29,9.2,5.12
EMP00138,Male,28,5,Distance Learning,HR,HR Manager,2,Bhopal,3.4,4.3,22,8.7,8.91
EMP00139,Female,39,14,NIT,Operations,Logistics Manager,5,Bangalore,3.1,3.1,50,6.4,24.75
EMP00140,Male,29,2,State University,Operations,Operations Executive,1,Chandigarh,3.3,1.6,64,6.2,6.84
EMP00141,Male,30,5,"Top Private (ISB, XLRI, SP Jain)",Finance,Financial Analyst,1,Mumbai,3.9,,20,10.5,9.0
EMP00142,Male,30,4,Central University,Sales,Account Manager,2,Mumbai,3.9,4.4,29,33.4,13.29
EMP00143,Female,29,3,Other,Marketing,Marketing Manager,1,Coimbatore,3.9,3.0,1,18.9,6.43
EMP00144,Male,31,7,State University,Data Science,Data Scientist,2,Bangalore,3.7,2.6,23,13.6,12.03
EMP00145,Male,35,8,Tier-2 Private,Marketing,Digital Marketing Manager,4,Chandigarh,4.6,3.2,4,14.3,19.16
EMP00146,Male,35,8,Tier-2 Private,Engineering,Staff Engineer,4,Nagpur,4.6,4.0,22,14.5,20.79
EMP00147,Male,27,3,Tier-2 Private,Sales,Sales Executive,1,Mumbai,3.6,3.4,36,19.7,6.09
EMP00148,Male,27,1,Tier-2 Private,Operations,Operations Executive,1,Mumbai,4.7,2.9,1,5.8,8.47
EMP00149,Male,30,7,Central University,Legal,Legal Associate,2,Dehradun,4.6,4.0,77,12.0,9.49
EMP00150,Male,26,4,Diploma,Marketing,Marketing Executive,2,Surat,3.6,4.4,17,13.3,9.5
EMP00151,Female,46,21,Diploma,Customer Support,Customer Success Manager,6,Kolkata,3.0,4.3,15,8.6,35.15
EMP00152,Female,47,22,Central University,Operations,Logistics Manager,6,Dehradun,3.2,3.4,31,9.7,28.14
EMP00153,Male,49,24,Tier-2 Private,Finance,FP&A Analyst,6,Ranchi,3.6,3.5,4,14.7,50.0
EMP00154,Male,29,3,Tier-2 Private,Finance,Financial Analyst,2,Bangalore,3.3,,41,15.8,10.47
EMP00155,Male,33,9,Distance Learning,Customer Support,Support Manager,4,Kochi,2.7,4.5,33,7.0,14.16
EMP00156,Female,37,11,Other,Data Science,Senior Data Scientist,3,Kolkata,2.7,4.0,1,11.4,11.59
EMP00157,Male,37,10,State University,Engineering,Senior Software Engineer,3,Delhi,3.2,3.5,37,9.3,17.42
EMP00158,Female,26,4,Diploma,Data Science,Senior Data Scientist,2,Hyderabad,3.0,2.6,8,10.8,7.98
EMP00159,Female,38,14,State University,Operations,Logistics Manager,4,Kolkata,2.0,3.5,5,7.8,17.75
EMP00160,Female,29,6,IIM,Sales,Senior Account Manager,2,Ahmedabad,4.2,3.3,17,21.7,6.84
EMP00161,Male,31,6,Diploma,HR,HR Executive,1,Chennai,4.3,3.9,17,9.6,10.33
EMP00162,Female,26,2,State University,Marketing,Marketing Manager,1,Pune,4.0,,30,17.8,5.32
EMP00163,Male,32,9,Diploma,Data Science,Lead Data Scientist,4,Dehradun,1.8,3.1,47,11.9,17.07
EMP00164,Male,28,5,Tier-2 Private,Engineering,Software Engineer,1,Kochi,3.3,,19,8.2,8.29
EMP00165,Male,32,8,State University,Sales,Account Manager,3,Guwahati,3.9,,17,32.5,14.45
EMP00166,Male,29,7,Tier-2 Private,Product,Senior Product Manager,2,Pune,4.5,2.8,19,11.5,10.36
EMP00167,Female,28,6,Diploma,Customer Support,Support Team Lead,2,Indore,5.0,4.2,7,8.9,6.5
EMP00168,Female,30,5,Diploma,Legal,Legal Manager,2,Delhi,3.5,,20,13.1,8.46
EMP00169,Male,37,10,Tier-2 Private,Sales,Account Manager,3,Jaipur,3.6,3.8,7,24.4,17.86
EMP00170,Female,30,5,State University,Marketing,Marketing Executive,2,Lucknow,3.9,2.9,6,12.9,7.7
EMP00171,Male,29,2,Tier-2 Private,Finance,Financial Analyst,2,Chennai,3.0,3.8,33,14.5,7.85
EMP00172,Male,31,9,State University,Legal,Legal Manager,3,Visakhapatnam,2.9,4.5,4,9.2,17.27
EMP00173,Male,30,3,NIT,Engineering,Senior Software Engineer,1,Kochi,4.2,4.5,1,13.8,8.91
EMP00174,Female,27,2,Distance Learning,Customer Support,Customer Support Executive,2,Hyderabad,4.0,4.4,45,7.7,6.37
EMP00175,Male,28,2,Tier-2 Private,Legal,Senior Legal Counsel,2,Kolkata,3.3,3.3,38,11.0,9.59
EMP00176,Male,29,7,State University,Engineering,Staff Engineer,2,Hyderabad,2.2,4.0,18,12.9,11.53
EMP00177,Male,30,5,IIM,Product,Associate Product Manager,2,Vadodara,1.8,2.4,10,20.0,8.33
EMP00178,Female,25,1,Other,Customer Support,Customer Support Executive,1,Vadodara,3.4,3.5,18,7.6,4.31
EMP00179,Female,31,4,State University,Operations,Operations Manager,2,Kolkata,3.5,4.6,13,9.5,6.69
EMP00180,Female,39,13,Central University,Finance,Controller,5,Hyderabad,3.3,2.4,5,10.2,23.69
EMP00181,Female,31,4,Tier-2 Private,Legal,Legal Manager,2,Bangalore,4.2,2.7,19,11.6,7.87
EMP00182,Female,32,5,Central University,Operations,Supply Chain Analyst,2,Coimbatore,3.7,3.2,4,5.9,6.97
EMP00183,Male,38,12,Tier-2 Private,Customer Support,Support Manager,5,Mumbai,1.9,3.4,16,9.2,25.39
EMP00184,Male,33,10,Other,Marketing,Brand Manager,2,Ranchi,5.0,4.2,7,16.7,10.28
EMP00185,Female,35,12,Central University,HR,HR Business Partner,3,Mumbai,1.5,,7,8.5,11.5
EMP00186,Female,27,0,IIIT,Operations,Operations Manager,2,Visakhapatnam,3.1,1.9,7,9.2,6.17
EMP00187,Male,45,20,IIM,Engineering,Engineering Manager,6,Kolkata,2.7,2.9,15,14.6,50.0
EMP00188,Male,36,9,State University,Operations,Operations Manager,2,Mumbai,3.9,3.5,29,5.8,7.2
EMP00189,Female,56,30,Diploma,Sales,Business Development Manager,6,Delhi,2.5,2.9,47,19.1,50.0
EMP00190,Male,28,3,"Top Private (ISB, XLRI, SP Jain)",Data Science,Data Analyst,1,Hyderabad,4.0,3.8,1,12.5,10.3
EMP00191,Female,23,1,Diploma,Legal,Senior Legal Counsel,2,Raipur,3.3,3.6,5,14.5,6.08
EMP00192,Male,33,6,Central University,Marketing,Brand Manager,2,Visakhapatnam,4.1,2.0,7,15.8,10.21
EMP00193,Male,27,4,State University,Marketing,Marketing Executive,2,Indore,1.6,3.4,1,17.3,7.51
EMP00194,Female,32,9,IIT,Product,Group Product Manager,3,Chennai,3.3,2.7,2,11.7,12.72
EMP00195,Male,34,12,Other,Legal,Compliance Officer,4,Bangalore,4.1,3.7,31,14.3,24.49
EMP00196,Male,27,5,State University,Data Science,Senior Data Scientist,3,Mysore,2.6,4.1,1,13.9,11.92
EMP00197,Female,29,5,Central University,Customer Support,Support Manager,3,Kolkata,3.7,3.1,35,7.9,8.71
EMP00198,Female,35,8,Tier-2 Private,HR,Talent Acquisition Specialist,3,Visakhapatnam,3.7,2.4,8,6.0,9.29
EMP00199,Male,32,5,IIT,Product,Product Manager,1,Thiruvananthapuram,3.7,,1,16.1,9.42
EMP00200,Male,28,4,IIT,Operations,Operations Executive,2,Ahmedabad,3.2,3.0,8,7.8,9.94
EMP00201,Female,35,12,Central University,Sales,Key Account Manager,4,Bangalore,4.1,2.9,1,22.9,15.79
EMP00202,Female,38,14,Diploma,Product,Senior Product Manager,3,Bangalore,3.8,2.0,1,11.8,14.87
EMP00203,Male,39,12,IIM,Legal,Company Secretary,5,Bangalore,3.7,4.0,70,14.8,27.33
EMP00204,Male,27,5,Central University,Engineering,Software Engineer,1,Kolkata,3.0,,22,12.0,9.47
EMP00205,Male,23,1,Distance Learning,Data Science,Data Scientist,1,Kochi,2.7,3.9,89,11.4,6.89
EMP00206,Male,27,5,"Top Private (ISB, XLRI, SP Jain)",Customer Support,Customer Success Manager,2,Vadodara,3.9,3.0,30,6.0,8.96
EMP00207,Male,30,3,Tier-2 Private,Sales,Sales Executive,1,Surat,2.9,4.1,2,30.6,6.12
EMP00208,Female,27,5,Other,Marketing,Marketing Manager,2,Bangalore,4.7,4.3,26,24.5,10.4
EMP00209,Male,30,3,BITS,Finance,Senior Financial Analyst,2,Pune,5.0,2.0,11,17.1,9.84
EMP00210,Male,28,5,Tier-2 Private,Operations,Operations Executive,1,Kolkata,2.9,,1,9.5,6.25
EMP00211,Female,27,2,NIT,Operations,Operations Executive,1,Dehradun,2.8,2.3,6,6.5,4.22
EMP00212,Female,29,2,State University,Engineering,Software Engineer,1,Pune,3.9,3.6,3,9.5,5.32
EMP00213,Male,36,14,IIT,Marketing,Growth Manager,5,Indore,3.7,4.3,1,23.0,22.02
EMP00214,Female,26,3,"Top Private (ISB, XLRI, SP Jain)",Operations,Operations Manager,1,Raipur,3.5,2.6,2,5.9,6.33
EMP00215,Female,32,6,Distance Learning,HR,HR Business Partner,2,Vadodara,4.0,,34,6.0,6.2
EMP00216,Female,37,11,Central University,Sales,Sales Manager,3,Chennai,4.1,3.4,13,23.2,15.59
EMP00217,Male,38,11,"Top Private (ISB, XLRI, SP Jain)",Customer Support,Support Manager,4,Guwahati,2.9,,1,9.7,18.01
EMP00218,Male,32,10,Other,Engineering,Lead Engineer,3,Mumbai,2.8,2.6,1,14.2,18.35
EMP00219,Female,33,7,State University,HR,HR Manager,2,Guwahati,2.0,,1,7.3,5.75
EMP00220,Male,33,10,Central University,HR,Talent Acquisition Specialist,4,Kolkata,2.1,3.1,18,8.8,23.16
EMP00221,Male,40,15,IIIT,Product,Group Product Manager,4,Pune,2.7,,31,13.0,23.59
EMP00222,Male,35,8,IIIT,Data Science,ML Engineer,4,Guwahati,3.2,4.8,1,12.4,19.84
EMP00223,Female,28,1,Tier-2 Private,Customer Support,Customer Support Executive,1,Chandigarh,4.1,3.4,19,6.8,4.43
EMP00224,Female,27,4,Tier-2 Private,Data Science,Senior Data Scientist,2,Thiruvananthapuram,4.0,2.5,19,11.3,8.45
EMP00225,Male,33,9,State University,Marketing,Brand Manager,3,Delhi,3.9,,5,23.9,16.81
EMP00226,Female,26,3,Tier-2 Private,Operations,Operations Executive,1,Delhi,3.3,3.1,32,9.4,4.14
EMP00227,Male,43,18,BITS,Marketing,Digital Marketing Manager,5,Kochi,5.0,4.6,4,17.3,38.42
EMP00228,Male,31,5,State University,Operations,Operations Executive,2,Guwahati,2.5,3.3,13,7.2,9.38
EMP00229,Female,29,6,Distance Learning,Engineering,Staff Engineer,2,Chennai,3.3,,22,10.3,7.76
EMP00230,Male,35,13,IIT,HR,Talent Acquisition Specialist,4,Indore,3.8,4.4,17,9.3,23.87
EMP00231,Male,27,5,"Top Private (ISB, XLRI, SP Jain)",Legal,Senior Legal Counsel,2,Kolkata,2.6,3.0,25,14.4,10.45
EMP00232,Male,28,6,IIM,HR,HR Business Partner,3,Mumbai,3.3,2.8,4,5.3,13.63
EMP00233,Female,35,11,State University,Customer Support,Customer Success Manager,2,Mumbai,2.3,3.5,11,6.8,10.58
EMP00234,Female,29,2,NIT,Marketing,Marketing Manager,2,Hyderabad,3.2,3.4,35,24.9,6.62
EMP00235,Female,27,4,Central University,Finance,Senior Financial Analyst,1,Delhi,4.7,2.4,2,11.5,6.46
EMP00236,Female,34,10,Diploma,Marketing,Marketing Manager,3,Visakhapatnam,3.6,1.9,60,20.6,11.58
EMP00237,Male,32,6,Central University,Finance,Finance Manager,2,Bangalore,5.0,3.8,24,11.0,12.58
EMP00238,Female,41,16,State University,Finance,Controller,4,Chennai,4.6,3.5,28,11.8,24.81
EMP00239,Male,25,2,Central University,Marketing,Marketing Executive,1,Ahmedabad,2.3,,8,23.6,5.91
EMP00240,Male,23,1,Central University,Product,Product Manager,1,Surat,2.6,4.3,5,17.5,5.8
EMP00241,Female,32,10,Tier-2 Private,Engineering,Lead Engineer,3,Raipur,4.6,3.4,30,14.8,12.72
EMP00242,Female,34,11,Distance Learning,Product,Group Product Manager,3,Indore,3.4,,4,12.4,12.08
EMP00243,Male,27,5,IIM,Engineering,Staff Engineer,2,Kochi,2.3,4.1,22,10.8,11.55
EMP00244,Male,32,8,IIT,Customer Support,Customer Success Manager,3,Hyderabad,4.3,3.7,5,6.7,16.65
